Activity 1,Gross domestic product,Balance on goods and services,Balance on goods and services,Balance of payments,Balance of payments,Balance of payments,Gross domestic product,Gross domestic product,Gross domestic product,Gross domestic product,Gross domestic product,Gross domestic product,Gross domestic product
Activity 2,Percent change from previous period,Imports,Exports,Current account balance,Net foreign debt level,Net foreign debt share of GDP,,,,,,,
Location,Australia,Australia,Australia,Australia,Australia,Australia,Australia,United States of America,European Union,Japan,Organisation for Economic Cooperation and Development (OECD),China, Republic of Korea
Measure,Rate,Value,Value,Value,Value,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate
Unit,%,$m,$m,$m,$m,%,%,%,%,%,%,%,%
1974,1.30,"10,160.00","10,160.00",-959.00,,,1.76,-0.50,,-1.20,0.49,2.30,9.40
1975,2.60,"11,253.00","11,253.00","-1,131.00","3,133.00",,2.51,-0.20,,3.10,0.18,8.70,7.30
1976,3.60,"13,469.00","13,469.00","-2,111.00","5,160.00",,3.84,5.40,,4.00,5.10,-1.60,13.50
1977,0.90,"14,295.00","14,295.00","-2,672.00","7,434.00",,1.54,4.60,,4.40,3.79,7.60,11.80
1978,4.10,"16,968.00","16,968.00","-3,261.00","9,553.00",,1.95,5.60,,5.30,4.65,11.90,10.30
1979,3.00,"22,093.00","22,093.00","-1,728.00","7,923.00",,4.63,3.20,,5.50,3.91,7.60,8.40
1980,3.30,"22,682.00","22,682.00","-5,274.00","9,361.00",,2.70,-0.26,,3.18,1.33,7.91,-1.65
1981,3.30,"23,774.00","23,774.00","-8,505.00","18,378.00",,4.14,2.54,,4.21,2.01,5.10,7.25
1982,-2.20,"25,709.00","25,709.00","-6,283.00","25,169.00",,-0.21,-1.80,,3.31,0.22,9.00,8.34
1983,4.60,"28,970.00","28,970.00","-7,181.00","31,850.00",,-0.31,4.58,,3.52,3.19,10.80,13.38
1984,5.30,"35,848.00","35,848.00","-10,588.00","53,055.00",,6.66,7.24,,4.50,4.87,15.20,10.55
1985,4.00,"39,059.00","39,059.00","-14,685.00","78,396.00",,5.06,4.17,,5.23,3.71,13.50,7.84
1986,2.50,"44,264.00","44,264.00","-11,675.00","87,971.00",,1.92,3.46,,3.33,3.29,8.60,11.33
1987,5.70,"51,780.00","51,780.00","-10,601.00","98,767.00",,5.26,3.46,,4.73,3.82,11.70,12.72
1988,3.90,"55,675.00","55,675.00","-18,537.00","114,598.00",30.58,4.48,4.18,,6.79,4.79,11.20,11.99
1989,3.60,"61,170.00","61,170.00","-23,365.00","130,999.00",32.40,4.31,3.67,,4.86,3.98,4.20,7.07
1990,-0.40,"66,571.00","66,571.00","-16,684.00","142,849.00",34.10,1.46,1.89,,4.89,3.07,3.89,9.88
1991,0.40,"70,511.00","70,511.00","-12,921.00","161,651.00",36.55,-1.31,-0.11,,3.42,1.59,9.30,10.78
1992,4.00,"77,916.00","77,916.00","-14,240.00","175,799.00",39.45,2.96,3.52,1.39,0.85,2.25,14.28,6.20
1993,4.00,"83,861.00","83,861.00","-15,605.00","169,420.00",38.63,4.11,2.75,-0.79,-0.52,1.34,13.88,6.88
1994,3.90,"88,611.00","88,611.00","-26,844.00","188,427.00",36.35,4.75,4.03,2.50,0.88,3.34,13.03,9.27
1995,3.90,"99,923.00","99,923.00","-20,683.00","190,999.00",36.88,3.05,2.68,2.90,2.63,2.92,10.97,9.62
1996,3.90,"106,476.00","106,476.00","-16,803.00","205,313.00",36.68,4.03,3.77,1.62,3.13,3.06,9.92,7.89
1997,4.60,"115,241.00","115,241.00","-23,417.00","223,125.00",37.73,4.16,4.45,2.63,0.98,3.52,9.25,6.17
1998,4.90,"113,758.00","113,758.00","-34,391.00","225,327.00",37.85,5.01,4.48,2.99,-1.27,2.83,7.86,-5.13
1999,3.90,"128,494.00","128,494.00","-33,442.00","266,734.00",38.75,4.25,4.80,2.93,-0.33,3.63,7.68,11.47
2000,2.00,"156,706.00","156,706.00","-19,583.00","295,880.00",43.28,3.36,4.08,3.82,2.77,4.09,8.47,9.06
2001,4.00,"156,786.00","156,786.00","-20,173.00","316,712.00",41.78,2.66,0.95,2.17,0.39,1.57,8.32,4.85
2002,3.10,"153,050.00","153,050.00","-39,228.00","348,471.00",43.85,4.01,1.70,0.91,0.04,1.66,9.12,7.73
2003,4.20,"148,299.00","148,299.00","-47,254.00","378,891.00",43.28,2.86,2.80,0.64,1.54,2.04,10.02,3.15
2004,3.20,"168,656.00","168,656.00","-60,380.00","421,820.00",45.08,4.00,3.85,2.28,2.19,3.27,10.11,5.20
2005,2.70,"198,453.00","198,453.00","-58,349.00","489,357.00",47.95,3.06,3.48,1.67,1.80,2.84,11.39,4.31
2006,3.80,"219,803.00","219,803.00","-66,901.00","535,811.00",49.53,2.75,2.78,3.22,1.37,3.06,12.71,5.26
2007,3.60,"237,682.00","237,682.00","-78,887.00","601,080.00",51.75,4.43,2.01,2.99,1.48,2.74,14.25,5.80
2008,1.90,"290,262.00","290,262.00","-42,279.00","622,618.00",53.00,2.56,0.12,0.41,-1.22,0.32,9.59,3.01
2009,2.20,"258,186.00","258,186.00","-64,693.00","681,462.00",51.53,1.89,-2.60,-4.50,-5.69,-3.33,9.45,0.79
2010,2.50,"304,069.00","304,069.00","-45,230.00","674,853.00",48.38,2.43,2.71,2.14,4.10,3.16,10.61,6.81
2011,3.90,"322,528.00","322,528.00","-51,140.00","745,132.00",49.28,2.72,1.55,1.70,0.02,1.76,9.55,3.69
2012,2.60,"307,080.00","307,080.00","-61,540.00","809,181.00",50.70,3.96,2.28,-0.89,1.38,1.21,7.85,2.40
2013,2.60,"337,246.00","337,246.00","-49,415.00","880,234.00",54.30,2.10,1.84,-0.24,2.01,1.41,7.77,3.17
2014,2.20,"325,766.00","325,766.00","-59,965.00","957,305.00",58.13,2.56,2.29,1.40,0.30,2.00,7.39,3.20
2015,2.70,"319,445.00","319,445.00","-77,377.00","1,027,530.00",62.40,2.29,2.71,2.04,1.56,2.30,7.02,2.81
2016,2.30,"373,420.00","373,420.00","-40,124.00","981,380.00",59.65,2.76,1.67,1.86,0.75,1.76,6.85,2.95
2017,2.90,"403,047.00","403,047.00","-51,867.00","1,091,553.00",58.65,2.45,2.26,2.63,1.68,2.46,6.95,3.16
2018,2.10,"470,398.00","470,398.00","-14,509.00","1,183,433.00",60.10,2.89,2.92,1.85,0.56,2.25,6.75,2.91
2019,0.00,"475,088.00","475,088.00","35,989.00","1,146,127.00",60.63,1.94,2.29,1.50,0.02,1.74,5.95,2.24
2020,1.60,"459,239.00","459,239.00","68,741.00","1,195,167.00",36.68,-2.42,-3.41,-6.34,-4.50,-4.54,2.20,-0.85
2021,3.74,"595,375.00","595,066.00","49,707.00","1,157,730.00",54.03,5.01,5.68,5.40,1.70,5.21,8.08,4.02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,